molecule_A2B,2_1_3
├─ add                    0.33 ns       │ 0.341 ns      │ 0.331 ns      │ 0.332 ns      │ 100     │ 204800
├─ divan_inference        42.29 ms      │ 42.42 ms      │ 42.3 ms       │ 42.3 ms       │ 100     │ 100
├─ divan_training         103.5 ms      │ 103.7 ms      │ 103.5 ms      │ 103.5 ms      │ 100     │ 100
╰─ divan_training_verify  103.2 ms      │ 103.3 ms      │ 103.2 ms      │ 103.3 ms      │ 100     │ 100

molecule_A2BCD,2_1_1_1_7
├─ add                    0.733 ns      │ 1.827 ns      │ 0.776 ns      │ 0.77 ns       │ 100     │ 409600
├─ divan_inference        106.9 ms      │ 107.2 ms      │ 107 ms        │ 107 ms        │ 100     │ 100
├─ divan_training         269.5 ms      │ 292 ms        │ 288.9 ms      │ 286.2 ms      │ 100     │ 100
╰─ divan_training_verify  288.7 ms      │ 291.9 ms      │ 290.5 ms      │ 290.5 ms      │ 100     │ 100

molecule_A2BCD,2_1_1_1_8
├─ add                    0.778 ns      │ 3.343 ns      │ 0.779 ns      │ 0.806 ns      │ 100     │ 204800
├─ divan_inference        241.6 ms      │ 242.6 ms      │ 241.8 ms      │ 241.8 ms      │ 100     │ 100
├─ divan_training         706.6 ms      │ 741.7 ms      │ 714.5 ms      │ 715.1 ms      │ 100     │ 100
╰─ divan_training_verify  709.1 ms      │ 723.3 ms      │ 712.7 ms      │ 712.8 ms      │ 100     │ 100

molecule_A3,3_3
├─ add                    0.696 ns      │ 0.707 ns      │ 0.697 ns      │ 0.698 ns      │ 100     │ 204800
├─ divan_inference        239.5 µs      │ 273 µs        │ 239.7 µs      │ 241.2 µs      │ 100     │ 100
├─ divan_training         303.3 µs      │ 313.4 µs      │ 304.6 µs      │ 305 µs        │ 100     │ 100
╰─ divan_training_verify  298.4 µs      │ 302.5 µs      │ 299.7 µs      │ 300 µs        │ 100     │ 100

molecule_A3,3_4
├─ add                    0.391 ns      │ 0.402 ns      │ 0.392 ns      │ 0.395 ns      │ 100     │ 204800
├─ divan_inference        276.7 µs      │ 312.6 µs      │ 277.1 µs      │ 278.7 µs      │ 100     │ 100
├─ divan_training         344.3 µs      │ 354.2 µs      │ 346.1 µs      │ 346.1 µs      │ 100     │ 100
╰─ divan_training_verify  344.8 µs      │ 348.9 µs      │ 345.3 µs      │ 345.8 µs      │ 100     │ 100

molecule_A3,3_5
├─ add                    0.677 ns      │ 0.82 ns       │ 0.678 ns      │ 0.692 ns      │ 100     │ 204800
├─ divan_inference        313.6 µs      │ 332.7 µs      │ 314.1 µs      │ 314.9 µs      │ 100     │ 100
├─ divan_training         445.2 µs      │ 517.3 µs      │ 446 µs        │ 447.7 µs      │ 100     │ 100
╰─ divan_training_verify  443.9 µs      │ 450.5 µs      │ 445.2 µs      │ 445.5 µs      │ 100     │ 100

molecule_A3,3_6
├─ add                    0.391 ns      │ 2.016 ns      │ 0.401 ns      │ 0.413 ns      │ 100     │ 204800
├─ divan_inference        365.7 µs      │ 402.5 µs      │ 365.9 µs      │ 367.7 µs      │ 100     │ 100
├─ divan_training         559 µs        │ 661.5 µs      │ 560.9 µs      │ 562.1 µs      │ 100     │ 100
╰─ divan_training_verify  550.9 µs      │ 558.9 µs      │ 553.7 µs      │ 553.8 µs      │ 100     │ 100

molecule_A3,3_7
├─ add                    0.776 ns      │ 0.796 ns      │ 0.777 ns      │ 0.778 ns      │ 100     │ 204800
├─ divan_inference        450.6 µs      │ 487.5 µs      │ 451.5 µs      │ 453.3 µs      │ 100     │ 100
├─ divan_training         718.7 µs      │ 727.9 µs      │ 721.4 µs      │ 721.3 µs      │ 100     │ 100
╰─ divan_training_verify  711.8 µs      │ 722.2 µs      │ 717.7 µs      │ 717.7 µs      │ 100     │ 100

molecule_A3,3_8
├─ add                    0.394 ns      │ 0.416 ns      │ 0.395 ns      │ 0.397 ns      │ 100     │ 204800
├─ divan_inference        554.3 µs      │ 588.7 µs      │ 556.3 µs      │ 556.7 µs      │ 100     │ 100
├─ divan_training         822.7 µs      │ 833.2 µs      │ 826.2 µs      │ 826.1 µs      │ 100     │ 100
╰─ divan_training_verify  820.7 µs      │ 830.5 µs      │ 823.9 µs      │ 823.8 µs      │ 100     │ 100

molecule_A3B,3_1_3
├─ add                    0.391 ns      │ 0.402 ns      │ 0.392 ns      │ 0.394 ns      │ 100     │ 204800
├─ divan_inference        385.1 µs      │ 427.8 µs      │ 386 µs        │ 387.8 µs      │ 100     │ 100
├─ divan_training         599.3 µs      │ 619.5 µs      │ 603.1 µs      │ 603.3 µs      │ 100     │ 100
╰─ divan_training_verify  592.1 µs      │ 604.1 µs      │ 595.2 µs      │ 595.4 µs      │ 100     │ 100

